category,New cases
2020-01-30T00:00:00,1
2020-01-31T00:00:00,0
2020-02-03T00:00:00,1
2020-02-04T00:00:00,0
2020-02-05T00:00:00,0
2020-02-06T00:00:00,0
2020-02-08T00:00:00,0
2020-02-10T00:00:00,0
2020-02-11T00:00:00,0
2020-02-12T00:00:00,0
2020-02-13T00:00:00,0
2020-02-14T00:00:00,0
2020-02-17T00:00:00,0
2020-02-18T00:00:00,0
2020-02-19T00:00:00,0
2020-02-20T00:00:00,0
2020-02-21T00:00:00,0
2020-02-24T00:00:00,1
2020-02-25T00:00:00,0
2020-02-26T00:00:00,0
2020-02-27T00:00:00,1
2020-02-28T00:00:00,1
2020-03-02T00:00:00,12
2020-03-03T00:00:00,2
2020-03-04T00:00:00,0
2020-03-05T00:00:00,2
2020-03-06T00:00:00,4
2020-03-07T00:00:00,2
2020-03-08T00:00:00,1
2020-03-09T00:00:00,6
2020-03-10T00:00:00,1
2020-03-11T00:00:00,6
2020-03-12T00:00:00,17
2020-03-13T00:00:00,20
2020-03-14T00:00:00,24
2020-03-15T00:00:00,42
2020-03-16T00:00:00,32
2020-03-17T00:00:00,12
2020-03-18T00:00:00,25
2020-03-19T00:00:00,44
2020-03-20T00:00:00,60
2020-03-21T00:00:00,59
2020-03-22T00:00:00,48
2020-03-23T00:00:00,78
2020-03-24T00:00:00,85
2020-03-25T00:00:00,100
2020-03-26T00:00:00,170
2020-03-27T00:00:00,135
2020-03-28T00:00:00,151
2020-03-29T00:00:00,211
2020-03-30T00:00:00,351
2020-03-31T00:00:00,260
2020-04-01T00:00:00,426
2020-04-02T00:00:00,401
2020-04-03T00:00:00,462
2020-04-04T00:00:00,375
2020-04-05T00:00:00,408
2020-04-06T00:00:00,309
2020-04-07T00:00:00,379
2020-04-08T00:00:00,550
2020-04-09T00:00:00,483
2020-04-10T00:00:00,478
2020-04-11T00:00:00,411
2020-04-12T00:00:00,401
2020-04-13T00:00:00,421
2020-04-14T00:00:00,483
2020-04-15T00:00:00,494
2020-04-16T00:00:00,514
2020-04-17T00:00:00,564
2020-04-18T00:00:00,485
2020-04-19T00:00:00,568
2020-04-20T00:00:00,606
2020-04-21T00:00:00,551
2020-04-22T00:00:00,510
2020-04-23T00:00:00,634
2020-04-24T00:00:00,640
2020-04-25T00:00:00,476
2020-04-26T00:00:00,437
2020-04-27T00:00:00,424
2020-04-28T00:00:00,525
2020-04-29T00:00:00,347
2020-04-30T00:00:00,459
2020-05-01T00:00:00,421
2020-05-02T00:00:00,511
2020-05-03T00:00:00,434
2020-05-04T00:00:00,370
2020-05-05T00:00:00,387
2020-05-06T00:00:00,412
2020-05-07T00:00:00,399
2020-05-08T00:00:00,477
2020-05-09T00:00:00,346
2020-05-10T00:00:00,294
2020-05-11T00:00:00,308
2020-05-12T00:00:00,361
2020-05-13T00:00:00,329
2020-05-14T00:00:00,345
2020-05-15T00:00:00,341
2020-05-16T00:00:00,391
2020-05-17T00:00:00,340
2020-05-18T00:00:00,304
2020-05-19T00:00:00,427
2020-05-20T00:00:00,390
2020-05-21T00:00:00,413
2020-05-22T00:00:00,441
2020-05-23T00:00:00,412
2020-05-24T00:00:00,460
2020-05-25T00:00:00,404
2020-05-26T00:00:00,287
2020-05-27T00:00:00,292
2020-05-28T00:00:00,383
2020-05-29T00:00:00,344
2020-05-30T00:00:00,323
2020-05-31T00:00:00,326
2020-06-01T00:00:00,404
2020-06-02T00:00:00,446
2020-06-03T00:00:00,338
2020-06-04T00:00:00,356
2020-06-05T00:00:00,344
2020-06-06T00:00:00,455
2020-06-07T00:00:00,415
2020-06-08T00:00:00,243
2020-06-09T00:00:00,230
2020-06-10T00:00:00,251
2020-06-11T00:00:00,203
2020-06-12T00:00:00,182
2020-06-13T00:00:00,266
2020-06-14T00:00:00,197
2020-06-15T00:00:00,181
2020-06-16T00:00:00,184
2020-06-17T00:00:00,190
2020-06-18T00:00:00,173
2020-06-19T00:00:00,178
2020-06-20T00:00:00,206
2020-06-21T00:00:00,175
2020-06-22T00:00:00,161
2020-06-23T00:00:00,216
2020-06-24T00:00:00,163
2020-06-25T00:00:00,189
2020-06-26T00:00:00,111
2020-06-27T00:00:00,160
2020-06-28T00:00:00,178
2020-06-29T00:00:00,257
2020-06-30T00:00:00,157
2020-07-01T00:00:00,149
2020-07-02T00:00:00,153
2020-07-03T00:00:00,165
2020-07-04T00:00:00,121
2020-07-05T00:00:00,138
2020-07-06T00:00:00,154
2020-07-07T00:00:00,112
2020-07-08T00:00:00,118
2020-07-09T00:00:00,170
2020-07-10T00:00:00,116
2020-07-11T00:00:00,130
2020-07-12T00:00:00,129
2020-07-13T00:00:00,116
2020-07-14T00:00:00,111
2020-07-15T00:00:00,102
2020-07-16T00:00:00,111
2020-07-17T00:00:00,111
2020-07-18T00:00:00,166
2020-07-19T00:00:00,164
2020-07-20T00:00:00,135
2020-07-21T00:00:00,203
2020-07-22T00:00:00,165
2020-07-23T00:00:00,103
2020-07-24T00:00:00,195
2020-07-25T00:00:00,138
2020-07-26T00:00:00,137
2020-07-27T00:00:00,119
2020-07-28T00:00:00,111
2020-07-29T00:00:00,76
2020-07-30T00:00:00,89
2020-07-31T00:00:00,134
2020-08-01T00:00:00,124
2020-08-02T00:00:00,116
2020-08-03T00:00:00,88
2020-08-04T00:00:00,91
2020-08-05T00:00:00,86
2020-08-06T00:00:00,95
2020-08-07T00:00:00,88
2020-08-08T00:00:00,70
2020-08-09T00:00:00,79
2020-08-10T00:00:00,115
2020-08-11T00:00:00,33
2020-08-12T00:00:00,95
2020-08-13T00:00:00,78
2020-08-14T00:00:00,92
2020-08-15T00:00:00,106
2020-08-16T00:00:00,81
2020-08-17T00:00:00,99
2020-08-18T00:00:00,125
2020-08-19T00:00:00,102
2020-08-20T00:00:00,76
2020-08-21T00:00:00,131
2020-08-22T00:00:00,108
2020-08-23T00:00:00,115
2020-08-24T00:00:00,105
2020-08-25T00:00:00,100
2020-08-26T00:00:00,88
2020-08-27T00:00:00,118
2020-08-28T00:00:00,122
2020-08-29T00:00:00,148
2020-08-30T00:00:00,112
2020-08-31T00:00:00,114
2020-09-01T00:00:00,112
2020-09-02T00:00:00,133
2020-09-03T00:00:00,132
2020-09-04T00:00:00,148
2020-09-05T00:00:00,169
2020-09-06T00:00:00,158
2020-09-07T00:00:00,190
2020-09-08T00:00:00,185
2020-09-09T00:00:00,149
2020-09-10T00:00:00,170
2020-09-11T00:00:00,213
2020-09-12T00:00:00,232
2020-09-13T00:00:00,204
2020-09-14T00:00:00,313
2020-09-15T00:00:00,251
2020-09-16T00:00:00,315
2020-09-17T00:00:00,293
2020-09-18T00:00:00,401
2020-09-19T00:00:00,407
2020-09-20T00:00:00,365
2020-09-21T00:00:00,425
2020-09-22T00:00:00,478
2020-09-23T00:00:00,335
2020-09-24T00:00:00,409
2020-09-25T00:00:00,409
2020-09-26T00:00:00,435
2020-09-27T00:00:00,491
2020-09-28T00:00:00,700
2020-09-29T00:00:00,554
2020-09-30T00:00:00,625
2020-10-01T00:00:00,538
2020-10-02T00:00:00,732
2020-10-03T00:00:00,653
2020-10-04T00:00:00,566